g_fd,se_fd,z_fd
0.0028750174281115537,0.012536527298038658,0.2293312461866015
0.004224875829567376,0.01782725013020727,0.23698976559534338
-0.001854720158241674,0.012869388447550131,0.14411874859482898
3.112894413292988e-05,0.01511692255884792,0.0020592117219460212
-0.0070921205505637686,0.01443426796468831,0.4913391221441768
0.0068823897746010665,0.012621569754744435,0.5452879402749395
0.0002083010360531823,0.015925683782043717,0.013079566246822173
0.004849888845535472,0.011067235846667838,0.43822042944857753
0.009352603653117741,0.012924159122977117,0.7236527780356934
0.0010185233679213535,0.018508286643544654,0.05503066748086028
0.012482826401056524,0.010783734895172913,1.15756057825978
0.0022215627898890256,0.006234322688086584,0.3563438886688202
0.0027798172753665945,0.010504677677360809,0.2646266130904261
0.008727364459467368,0.02191380487503852,0.39825874644929854
0.010696085427331775,0.013248127594223507,0.8073658221706378
0.0013704418347754155,0.010840481720226617,0.12641890555641902
0.0073589864621521894,0.007045993520084772,1.0444214064596034
0.0004717000082686551,0.005766327288423015,0.08180250351305612
0.007195108422335811,0.016517656580787337,0.43560104226315416
0.010896518737148891,0.019329732975313398,0.5637180167499041
